Base	Ortho	HumanVoice	MinGenVoice	PredictedVoice	Derivative	Prob	id_voice_s1	id_voice_root	id_voice_affix	no_long_v_f	no_long_v	Average
dʒɑnəf	jonnif	3.13333333333	2.84311924075	4.10064350511	dʒɑnəfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
dʒɑnəf	jonnif	3.13333333333	2.84311924075	4.10064350511	dʒɑnəvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
həbɑf	hibof	5.875	2.87578967186	4.10064350511	həbɑfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
həbɑf	hibof	5.875	2.87578967186	4.10064350511	həbɑvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
wɑf	wof	3.0	2.87578967186	3.77225576223	wɑfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
wɑf	wof	3.0	2.87578967186	3.77225576223	wɑvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
tɑkəf	tockif	4.5	2.84311924075	3.74562368687	tɑkəfs	0.542396052188	0.0	0.0	0.195563468991	0.0	0.392	0.587563468991
tɑkəf	tockif	4.5	2.84311924075	3.74562368687	tɑkəvz	0.457603947812	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
glənɑf	glinof	4.70588235294	2.87578967186	4.10064350511	glənɑfs	0.483226082482	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
glənɑf	glinof	4.70588235294	2.87578967186	4.10064350511	glənɑvz	0.516773917518	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
smɑf	smof	6.125	2.87578967186	3.77225576223	smɑfs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
smɑf	smof	6.125	2.87578967186	3.77225576223	smɑvz	0.462042627038	0.170720164204	0.304436531009	0.0	0.0	0.392	0.867156695213
hɑkəθ	hockith	3.04761904762	3.37825202937	3.74562368687	hɑkəθs	0.542396052188	0.0	0.0	0.195563468991	0.0	0.392	0.587563468991
hɑkəθ	hockith	3.04761904762	3.37825202937	3.74562368687	hɑkəðz	0.457603947812	0.0	0.304436531009	0.0	0.0	0.392	0.696436531009
wɑθ	wath	4.6	3.82434108879	3.77225576223	wɑθs	0.537957372962	0.0	0.0	0.195563468991	0.157222972552	0.392	0.744786441543
