spelling	ipa	shape	human	confidence1	confidence2	mingen	difference	abs_difference	final
jonnif	dʒɑnəf	P_	3.13333333333333	0.341731124232626	0.77072362099767	2.84311924074834	-0.290214092584986	0.290214092584986	f
hibof	həbɑf	_P	5.875	0.344120151011234	0.756600754453432	2.87578967185673	-2.99921032814327	2.99921032814327	f
wof	wɑf	P	3.0	0.344120151011234	0.756600754453432	2.87578967185673	-0.124210328143273	0.124210328143273	f
tockif	tɑkəf	P_	4.5	0.341731124232626	0.77072362099767	2.84311924074834	-1.65688075925166	1.65688075925166	f
glinof	glənɑf	_P	4.70588235294118	0.344120151011234	0.756600754453432	2.87578967185673	-1.83009268108445	1.83009268108445	f
smof	smɑf	P	6.125	0.344120151011234	0.756600754453432	2.87578967185673	-3.24921032814327	3.24921032814327	f
hockith	hɑkəθ	P_	3.04761904761905	0.416788531758712	0.634711124153747	3.37825202936678	0.330632981747725	0.330632981747725	T
wath	wɑθ	P	4.6	0.529636846167218	0.595518004857325	3.82434108879293	-0.775658911207068	0.775658911207068	T
jezoth	ʤəzɑθ	_P	2.88235294117647	0.529636846167218	0.595518004857325	3.82434108879293	0.941988147616462	0.941988147616462	T
parth	pɑɹθ	P	4.17647058823529	0.474231654563412	0.684757970352886	3.45506074101911	-0.721409847216175	0.721409847216175	T
saustith	sɑstəθ	P_	4.7	0.416788531758712	0.634711124153747	3.37825202936678	-1.32174797063323	1.32174797063323	T
kenath	kənɑθ	_P	3.92	0.529636846167218	0.595518004857325	3.82434108879293	-0.0956589112070678	0.0956589112070678	T
		P		0.584780394432651	0.58976969597742	3.98725647824089	3.98725647824089	3.98725647824089	f
		?????		0.828041848780226	0.527267996310959	4.66576772881561	4.66576772881561	4.66576772881561	f
		P		0.828041848780226	0.527267996310959	4.66576772881561	4.66576772881561	4.66576772881561	f
		P		0.341731124232626	0.77072362099767	2.84311924074834	2.84311924074834	2.84311924074834	f
		?????		0.584780394432651	0.58976969597742	3.98725647824089	3.98725647824089	3.98725647824089	f
		P		0.341731124232626	0.77072362099767	2.84311924074834	2.84311924074834	2.84311924074834	f
		P		0.327899907019879	0.684757970352886	2.94280762148761	2.94280762148761	2.94280762148761	T
		P		0.416788531758712	0.634711124153747	3.37825202936678	3.37825202936678	3.37825202936678	T
		?????		0.545412140991644	0.557782529039547	3.96636027606745	3.96636027606745	3.96636027606745	T
		P		0.545412140991644	0.557782529039547	3.96636027606745	3.96636027606745	3.96636027606745	T
		P		0.416788531758712	0.634711124153747	3.37825202936678	3.37825202936678	3.37825202936678	T
		?????		0.327899907019879	0.684757970352886	2.94280762148761	2.94280762148761	2.94280762148761	T
