item,IPA,complex,stressedV,shape,shape_group,place,type,voiced.correct,voiceless.incorrect,c1,c2,correct.first,incorrect.second,file.sg,file.pl.voiceless.reg,file.pl.voiced.irreg
bailiff,beɪlɪf,FALSE,eɪ,P_,P_,f,stim,van,fan,v,f,pale,pal,beIlIf.bailiff_8912,beIlIfs.bailiff_1652,beIlIvz.bailiff_12992
behalf,bɪhæf,TRUE,æ,_P,_P,f,stim,van,fan,v,f,hat,hate,bihaf.behalf_2891,bIhafs.behalf_14132,bIhavz.behalf_10532
belief,bəlif,FALSE,i,_P,_P,f,stim,van,fan,v,f,reek,rake,balif.belief_15492,balifs.belief_8261,balivz.belief_13151
bluff,blʌf,FALSE,ʌ,P,P,f,stim,van,fan,v,f,blood,boot,bluf.bluff_6171,blufs.bluff_9392,bluvz.bluff_7592
brief,brif,FALSE,i,P,P,f,stim,van,fan,v,f,reek,rake,brif.brief_4972,brifs.brief_3972,brivz.brief_3592
calf,kæf,FALSE,æ,P,P,f,stim,van,fan,v,f,hat,hate,kaf.calf_1911,kafs.calf_4652,kavz.calf_14412
caliph,keɪlɪf,FALSE,eɪ,P_,P_,f,stim,van,fan,v,f,pale,pal,keIlIf.caliph_11892,keIlIfs.caliph_1372,keilivz.caliph_12811
carafe,kəræf,FALSE,æ,_P,_P,f,stim,van,fan,v,f,hat,hate,karaf.carafe_4871,karafs.carafe_16661,karavz.carafe_7792
castoff,kæstɑf,TRUE,ɑ,PS,_P,f,stim,van,fan,v,f,hot,hat,kastof.castoff_4072,kastofs.castoff_11612,kastavz.castoff_8201
chef,ʃɛf,FALSE,ɛ,P,P,f,stim,van,fan,v,f,let,lot,shef.chef_11532,shefs.chef_9872,shevz.chef_3892
chief,ʧif,FALSE,i,P,P,f,stim,van,fan,v,f,reek,rake,tshif.chief_5111,tshifs.chief_15612,tshivz.chief_5091
clef,klɛf,FALSE,ɛ,P,P,f,stim,van,fan,v,f,let,lot,klef.clef_14261,klefs.clef_15981,klevz.clef_12011
cliff,klɪf,FALSE,ɪ,P,P,f,stim,van,fan,v,f,tick,tuck,klif.cliff_15801,klifs.cliff_3411,klivz.cliff_12031
cough,kɔf,FALSE,ɔ,P,P,f,stim,van,fan,v,f,dog,dig,kof.cough_751,kofs.cough_132,kovz.cough_13171
cuff,kʌf,FALSE,ʌ,P,P,f,stim,van,fan,v,f,blood,boot,kuf.cuff_10291,kufs.cuff_8221,kuvz.cuff_14352
dwarf,dworf,FALSE,o,P,P,f,stim,van,fan,v,f,cord,card,dworf.dwarf_8601,dworfs.dwarf_6892,dworvz.dwarf_13781
earmuff,irmʌf,TRUE,ʌ,PS,_P,f,stim,van,fan,v,f,blood,boot,irmuf.earmuff_9192,irmufs.earmuff_10372,irmuvz.earmuff_8892
elf,ɛlf,FALSE,ɛ,P,P,f,stim,van,fan,v,f,let,lot,elf.elf_7092,elfs.elf_411,elvz.elf_191
epitaph,ɛpətæf,FALSE,æ,P_S,_P,f,stim,van,fan,v,f,hat,hate,epetaf.epitaph_14461,epetafs.epitaph_13752,epetavz.epitaph_7072
fife,faɪf,FALSE,aɪ,P,P,f,stim,van,fan,v,f,bite,boat,faIf.fife_13972,faIfs.fife_15792,faIvz.fife_8952
gaffe,ɡæf,FALSE,æ,P,P,f,stim,van,fan,v,f,hat,hate,gaf.gaffe_1351,gafs.gaffe_3052,gavz.gaffe_131
