baudge,baudge_614.wav,baudge.i_618.wav,baudge.z_616.wav,bɑdʒ,dodge,botch,has the sound of the 'g' in 'dodge',has the sound of the 'ch' in 'botch',dog,dig,has the vowel sound of 'dog',has the vowel sound of 'dig',filler,dʒ,mono,ɑ,1,0,B AA D ZH
chox,chox_710.wav,chox.i_504.wav,chox.s_714.wav,ʧɑks,example,explain,has the sound of the 'x' in 'example',has the sound of the 'x' in 'explain',bock,beak,has the vowel sound of 'bock',has the vowel sound of 'beak',filler,s,mono,ɑ,1,k,CH AA K S
snox,snox_300.wav,snox.i_304.wav,snox.s_302.wav,snɑks,example,explain,has the sound of the 'x' in 'example',has the sound of the 'x' in 'explain',clock,cloak,has the vowel sound of 'clock',has the vowel sound of 'cloak',filler,s,mono,ɑ,1,k,S N AA K S
kinfax,kinfax_1742.wav,kinfax.i_1782.wav,kinfax.s_1762.wav,kənfæks,,,,,whack,heck,has the vowel sound of 'whack',has the vowel sound of 'heck',filler,s,iamb,æ,1,k,K IH N F AE K S
zan,zan_7102.wav,zan.i_7142.wav,zan.s_7122.wav,zæn,dessert,miss,has the sound of the 'ss' in 'dessert',has the sound of the 'ss' in 'miss',tan,ten,has the vowel sound of 'tan',has the vowel sound of 'ten',filler,z,mono,æ,2,0,Z AE N
ridus,ridus_402.wav,ridus.i_4722.wav,ridus.s_4682.wav,raɪdəs,,,,,sky,school,has the vowel sound of 'sky',has the vowel sound of 'school',filler,s,trochee,aɪ,1,0,R IH D IH S
dow,dow_128.wav,dow.i_1983.wav,dow.s_132.wav,daʊ,hard,heart,has the sound of the 'd' in 'hard',has the sound of the 't' in 'heart',south,cloak,has the vowel sound of 'south',has the vowel sound of 'cloak',filler,aʊ,mono,aʊ,2,0,D AW
terum,terum_2342.wav,terum.i_2382.wav,terum.s_2362.wav,teɹəm,drip,trip,has the sound of the 'd' in 'drip',has the sound of the 't' in 'trip',stare,storm,has the vowel sound of 'stare',has the vowel sound of 'storm',filler,m,trochee,e,2,0,T EY R IH M
cresson,cresson_7402.wav,cresson.i_7442.wav,cresson.s_7422.wav,krɛsən,dessert,miss,has the sound of the 'ss' in 'dessert',has the sound of the 'ss' in 'miss',heck,pack,has the vowel sound of 'heck',has the vowel sound of 'pack',filler,l,trochee,ɛ,1,0,K R EH S IH N
sentum,sentum_6502.wav,sentum.i_6542.wav,sentum.s_6522.wav,sɛntəm,panda,phantom,has the sound of the 'd' in 'panda',has the sound of the 't' in 'phantom',Lent,lyric,has the vowel sound of 'Lent',has the vowel sound of 'lyric',filler,m,trochee,ɛ,1,0,S EH N T IH M
yorex,yorex_312.wav,yorex.i_316.wav,yorex.s_314.wav,joɹəks,,,,,specs,spork,has the vowel sound of 'specs',has the vowel sound of 'spork',filler,s,trochee,ɛ,1,k,Y OW R IH K S
jedex,jedex_562.wav,jedex.i_486.wav,jedex.s_602.wav,dʒɛdəks,,,,,Czech,chick,has the vowel sound of 'Czech',has the vowel sound of 'chick',filler,s,trochee,ɛ,1,k,D ZH EH D IH K S
morex,morex_3942.wav,morex.i_543.wav,morex.s_563.wav,məɹɛks,,,,,mesh,stash,has the vowel sound of 'mesh',has the vowel sound of 'stash',filler,s,iamb,ɛ,1,k,M IH R EH K S
sulade,sulade_324.wav,sulade.i_328.wav,sulade.s_326.wav,səleɪd,chard,chart,has the sound of the 'd' in 'chard',has the sound of the 't' in 'chart',haze,sneeze,has the vowel sound of 'haze',has the vowel sound of 'sneeze',filler,d,iamb,eɪ,2,0,S IH L EY D
